task,status,due
Quarterly board prep,In Progress,2026-05-15
Vendor invoice review,Done,2026-04-20
Q1 financial close,done,2026-04-15
Customer onboarding refresh,blocked,2026-04-20
Sales territory mapping,in progress,2026-05-10
Backup site failover test,stuck,2026-04-25
API documentation cleanup,todo,2026-05-20
Compliance audit response,wip,2026-04-30
Recruiting pipeline review,not started,2026-05-25
Office security review,blocked,2026-04-10
Marketing analytics dashboard,doing,2026-04-28
Training material refresh,todo,2026-06-01
Risk assessment annual,stuck,2026-04-15
Procurement contract renewals,wip,2026-04-30
OKR check-in synthesis,done,2026-04-12
Customer feedback synthesis,doing,2026-05-12
DR runbook update,blocked,2026-04-05
Stakeholder roadmap review,not started,2026-05-30
Partner integration test,wip,2026-05-05
Annual benefits comms,doing,2026-05-08
